time,exchange,symbol,interval,price_open,price_high,price_low,price_close,price_volume_usd,funding_open,funding_high,funding_low,funding_close,basis_open_basis,basis_close_basis,basis_open_change,basis_close_change,ls_global_global_account_long_percent,ls_global_global_account_short_percent,ls_global_global_account_long_short_ratio,ls_top_top_account_long_percent,ls_top_top_account_short_percent,ls_top_top_account_long_short_ratio
2025-03-18 14:00:00,Binance,BTCUSDT,1h,81365.78,81978.86,81150.28,81854.71,121755729.8169,0.004151,0.005462,0.004151,0.005309,0.0436,0.0554,35.48,45.31,66.99,33.01,2.03,69.98,30.02,2.33
2025-03-18 15:00:00,Binance,BTCUSDT,1h,81854.72,82212.93,81537.02,81610.21,83266603.3664,0.005309,0.005309,0.003591,0.003591,0.0553,0.052,45.22,42.41,68.49,31.51,2.17,70.91,29.09,2.44
2025-03-18 16:00:00,Binance,BTCUSDT,1h,81610.22,82160.49,81547.22,81851.51,55518773.984,0.003591,0.003591,0.001528,0.001628,0.0524,0.0456,42.72,37.31,68.05,31.95,2.13,70.42,29.58,2.38
2025-03-18 17:00:00,Binance,BTCUSDT,1h,81851.52,81975.8,81332.58,81466.7,73071046.7298,0.001628,0.001628,0.001118,0.001471,0.0455,0.0464,37.22,37.8,68.14,31.86,2.14,70.5,29.5,2.39
2025-03-18 18:00:00,Binance,BTCUSDT,1h,81466.69,81950.8,81245.65,81889.38,46390351.378,0.001471,0.002739,0.001471,0.002497,0.0464,0.0493,37.79,40.38,67.88,32.12,2.11,70.42,29.58,2.38
2025-03-18 19:00:00,Binance,BTCUSDT,1h,81889.38,82476.26,81762.45,82317.21,73696936.3695,0.002497,0.002497,0.00105,0.001128,0.0495,0.0532,40.48,43.81,68.14,31.86,2.14,70.5,29.5,2.39
2025-03-18 20:00:00,Binance,BTCUSDT,1h,82317.2,82353.8,81870.23,82050.0,35976222.106,0.001128,0.001149,0.000916,0.001064,0.0531,0.0467,43.7,38.3,68.46,31.54,2.17,70.5,29.5,2.39
2025-03-18 21:00:00,Binance,BTCUSDT,1h,82050.0,82208.9,81934.76,82062.98,20578224.4094,0.001064,0.001079,0.000767,0.000767,0.0466,0.0633,38.2,51.88,68.22,31.78,2.15,70.45,29.55,2.38
2025-03-18 22:00:00,Binance,BTCUSDT,1h,82062.98,82566.35,82000.0,82395.74,32263041.9155,0.000767,0.000923,0.000412,0.000693,0.0634,0.0555,51.98,45.74,68.29,31.71,2.15,70.54,29.46,2.39
2025-03-18 23:00:00,Binance,BTCUSDT,1h,82395.74,82810.95,82395.74,82715.03,30417169.3194,0.000693,0.000853,0.00023,0.00023,0.0554,0.0592,45.64,48.93,68.3,31.7,2.16,70.21,29.79,2.36
2025-03-19 00:00:00,Binance,BTCUSDT,1h,82715.03,83280.0,82603.2,83118.0,78765028.1517,0.00023,0.00023,-0.000277,-0.000277,0.0591,0.0579,48.83,48.1,67.89,32.11,2.11,69.6,30.4,2.29
2025-03-19 01:00:00,Binance,BTCUSDT,1h,83118.0,83166.3,82582.0,82598.7,62108485.2451,-0.000277,-0.000181,-0.000437,-0.000204,0.0579,0.0441,48.1,36.4,66.93,33.07,2.02,69.02,30.98,2.23
2025-03-19 02:00:00,Binance,BTCUSDT,1h,82598.7,82900.0,82547.16,82868.91,35139476.3059,-0.000204,0.001246,-0.000261,0.001246,0.044,0.0489,36.3,40.51,65.67,34.33,1.91,68.14,31.86,2.14
2025-03-19 03:00:00,Binance,BTCUSDT,1h,82868.91,83083.0,82740.94,83037.17,52167998.974,0.001246,0.003641,0.001246,0.003641,0.0489,0.0347,40.51,28.77,65.04,34.96,1.86,67.19,32.81,2.05
2025-03-19 04:00:00,Binance,BTCUSDT,1h,83037.17,83078.46,82792.91,82952.87,33135682.2794,0.003641,0.005378,0.003641,0.005378,0.0347,0.0361,28.77,29.97,64.5,35.5,1.82,66.53,33.47,1.99
2025-03-19 05:00:00,Binance,BTCUSDT,1h,82952.88,83320.0,82910.72,83241.99,50137206.2253,0.005378,0.00598,0.005378,0.00598,0.0362,0.0471,29.98,39.19,64.18,35.82,1.79,66.41,33.59,1.98
2025-03-19 06:00:00,Binance,BTCUSDT,1h,83242.0,83322.81,83117.81,83200.0,29514899.3783,0.00598,0.006676,0.00598,0.006676,0.047,0.0481,39.1,40.0,63.27,36.73,1.72,65.22,34.78,1.88
2025-03-19 07:00:00,Binance,BTCUSDT,1h,83200.0,83364.16,83039.99,83190.0,44205600.1539,0.006676,0.006706,0.005961,0.005961,0.0481,0.0451,40.0,37.5,62.59,37.41,1.67,64.79,35.21,1.84
2025-03-19 08:00:00,Binance,BTCUSDT,1h,83190.0,83500.0,83178.74,83413.01,54350120.4469,0.005961,0.006549,0.005937,0.006494,0.0451,0.0474,37.5,39.51,62.0,38.0,1.63,64.25,35.75,1.8
2025-03-19 09:00:00,Binance,BTCUSDT,1h,83413.01,83596.47,83360.16,83527.37,71077487.0961,0.006494,0.007091,0.006452,0.007091,0.0473,0.0428,39.41,35.77,61.49,38.51,1.6,63.71,36.29,1.76
2025-03-19 10:00:00,Binance,BTCUSDT,1h,83527.38,83800.0,83448.62,83467.41,71918695.8067,0.007091,0.007587,0.007091,0.007092,0.043,0.0474,35.88,39.51,60.96,39.04,1.56,63.14,36.86,1.71
2025-03-19 11:00:00,Binance,BTCUSDT,1h,83467.41,84119.09,83381.97,83881.4,99697994.2404,0.007092,0.007092,0.006487,0.006858,0.0472,0.0394,39.41,33.0,60.67,39.33,1.54,62.74,37.26,1.68
